"기초자치단체",재정자립도 (%),재정자주도 (%)
"합계",62.5,72.9
"본청",60.7,68.4
"중구",43.2,52.1
"동구",13.7,45.6
"남구",17.2,37.9
"연수구",35.2,43.2
"남동구",27.3,37.2
"부평구",20.2,36.5
"계양구",19.9,41.6
"서구",36.6,42.0
"강화군",11.7,53.7
"옹진군",9.0,53.9
