"기초자치단체",재정자립도 (%),재정자주도 (%)
"합계",34.3,65.7
"경상남도",33.9,42
"창원시",34.8,60.8
"진주시",21,56.1
"통영시",12.6,54.9
"사천시",16.5,55.8
"김해시",31.7,53.8
"밀양시",13.7,64.1
"거제시",19.6,53.6
"양산시",29.9,55.8
"의령군",7.7,53.8
"함안군",16.8,56.1
"창녕군",12.5,57.8
"고성군",11.3,56.8
"남해군",8.8,52.2
"하동군",8,58.3
"산청군",8.9,58.9
"함양군",10,59.3
"거창군",8.9,58.6
"합천군",8.8,64
