"기초자치단체",재정자립도 (%),재정자주도 (%)
"합계",50.3,64.2
"본청",42.5,55.8
"중구",12.8,29.7
"남구",21.8,31.9
"동구",16.9,35.5
"북구",20.7,33.5
"울주군",31.5,50.8
