"기초자치단체",재정자립도 (%),재정자주도 (%)
"합계",30.1,68.8
"충청북도",28.2,44.2
"청주시",29.5,57.6
"충주시",18.2,63
"제천시",15.3,64.4
"보은군",9.5,60.4
"옥천군",11.4,62
"영동군",8.1,60
"증평군",15.6,61
"진천군",27,63.4
"괴산군",8.6,65.5
"음성군",25.2,60.1
"단양군",11.6,62.9
