"기초자치단체",재정자립도 (%),재정자주도 (%)
"합계",41.4,63.1
"시본청",37.1,60.0
"동구",11.0,29.4
"중구",13.0,29.9
"서구",17.6,28.4
"유성구",27.2,34.1
"대덕구",14.8,30.2
