"기초자치단체",재정자립도 (%),재정자주도 (%)
"합계",33.5,69
"경상북도",24.6,36.6
"포항시",26.3,53.4
"경주시",28.4,58.5
"김천시",25.1,65.4
"안동시",17.1,58.9
"구미시",36.9,48.4
"영주시",19.3,61.1
"영천시",20,64
"상주시",20.2,65.6
"문경시",21.2,67.6
"경산시",35.9,58.8
"군위군",22.5,69
"의성군",19.2,62.9
"청송군",16.9,67.4
"영양군",19.9,72.8
"영덕군",17.3,58.5
"청도군",16.8,60.3
"고령군",19.5,61.6
"성주군",21.7,62.9
"칠곡군",26.1,57.3
"예천군",14.7,61.4
"봉화군",12.4,63.8
"울진군",23.3,61.9
"울릉군",15.7,51.3
