"기초자치단체",재정자립도 (%),재정자주도 (%)
"합계",41.1,56.5
"중구",25.2,45.3
"동구",17.9,30.9
"서구",13.7,33.6
"남구",11,31.3
"북구",18,31.2
"수성구",25.5,35.8
"달서구",22.4,32.2
"달성군",27.9,50.7
