"기초자치단체",재정자립도 (%),재정자주도 (%)
"전체",25.8,73.1
"도",27.6,47.3
"춘천시",21.3,63.3
"원주시",19.8,56.2
"강릉시",17.8,61.5
"동해시",16.7,57.7
"태백시",18.5,62.6
"속초시",17.3,57
"삼척시",13.5,68.1
"홍천군",12.1,70.6
"횡성군",11.4,66.8
"영월군",15.2,69.2
"평창군",11.5,72.7
"정선군",21.5,70.8
"철원군",8.5,59.3
"화천군",8.8,70.2
"양구군",8.1,62.5
"인제군",9,69.3
"고성군",8.6,59
"양양군",14.1,65.7
