"기초자치단체",인구
"중구",43617
"서구",110051
"동구",91061
"영도구",115144
"부산진구",362701
"동래구",271966
"남구",273144
"북구",286291
"해운대구",406818
"사하구",316226
"금정구",236485
"강서구",142719
"연제구",210128
"수영구",178589
"사상구",217135
"기장군",176635
