"기초자치단체",인구
"포항시",508791
"경주시",263704
"김천시",142757
"안동시",160217
"구미시",420987
"영주시",104012
"영천시",104875
"상주시",98138
"문경시",72067
"경산시",274117
"군위군",23748
"의성군",52294
"청송군",25223
"영양군",16884
"영덕군",37249
"청도군",43229
"고령군",32891
"성주군",44970
"칠곡군",118430
"예천군",56165
"봉화군",31812
"울진군",50104
"울릉군",9227
