"기초자치단체",인구
"청주시",857527
"충주시",214961
"제천시",134520
"보은군",32912
"옥천군",51205
"영동군",48247
"증평군",37629
"진천군",89364
"괴산군",40350
"음성군",101844
"단양군",29338
