"기초자치단체",인구
"전주시",663098
"완산구",342789
"덕진구",320309
"군산시",276232
"익산시",292916
"정읍시",113415
"남원시",82463
"김제시",85924
"완주군",95881
"진안군",26070
"무주군",24536
"장수군",22818
"임실군",29244
"순창군",28777
"고창군",56467
"부안군",54150
