"기초자치단체",인구
"창원시",1050207
"진주시",352754
"통영시",131974
"사천시",114032
"김해시",559242
"밀양시",107419
"거제시",252395
"양산시",358005
"의령군",27518
"함안군",67261
"창녕군",63634
"고성군",52498
"남해군",43738
"하동군",45255
"산청군",35430
"함양군",39506
"거창군",62005
"합천군",44582
