"기초자치단체",인구
"목포시",233175
"여수시",287479
"순천시",281722
"나주시",117445
"광양시",158437
"담양군",47533
"곡성군",29376
"구례군",26784
"고흥군",65972
"보성군",41908
"화순군",63646
"장흥군",39155
"강진군",35742
"해남군",71806
"영암군",59109
"무안군",82733
"함평군",33560
"영광군",54773
"장성군",46836
"완도군",52858
"진도군",32232
"신안군",41102
