"기초자치단체",인구
"종로구",161869
"중구",136488
"용산구",245185
"성동구",308979
"광진구",366972
"동대문구",363023
"중랑구",402024
"성북구",454744
"강북구",317695
"도봉구",335631
"노원구",537303
"은평구",484546
"서대문구",323171
"마포구",385925
"양천구",462285
"강서구",598273
"구로구",439371
"금천구",251820
"영등포구",400986
"동작구",408912
"관악구",517334
"서초구",435107
"강남구",550209
"송파구",682741
"강동구",440390
